cfheps_amount,zip,month,timely_issuance,agency_action
1210.00,10024,2023-12-01,Timely,N/A
1584.00,10024,2023-12-01,Timely,N/A
1750.00,10024,2023-12-01,Timely,N/A
1419.00,10024,2023-12-01,Timely,N/A
1419.00,10024,2023-12-01,Timely,N/A
412.37,10024,2023-12-01,Timely,N/A
1333.70,10024,2023-12-01,Timely,N/A
1419.00,10024,2023-12-01,Timely,N/A
1355.60,10024,2023-12-01,Timely,N/A
1235.51,10024,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
998.00,10025,2023-12-01,Timely,N/A
450.76,10025,2023-12-01,Timely,N/A
1009.33,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
478.17,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1701.00,10025,2023-12-01,Timely,N/A
864.76,10025,2023-12-01,Timely,N/A
1062.65,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1009.33,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
2285.00,10025,2023-12-01,Timely,N/A
1172.79,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
956.08,10025,2023-12-01,Timely,N/A
1009.03,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1493.60,10025,2023-12-01,Timely,N/A
1701.00,10025,2023-12-01,Timely,N/A
1018.45,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
2235.00,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
951.26,10025,2023-12-01,Timely,N/A
1088.34,10025,2023-12-01,Timely,N/A
1989.07,10025,2023-12-01,Timely,N/A
998.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1444.70,10025,2023-12-01,Timely,N/A
990.13,10025,2023-12-01,Timely,N/A
1010.53,10025,2023-12-01,Timely,N/A
1038.13,10025,2023-12-01,Timely,N/A
1088.34,10025,2023-12-01,Timely,N/A
1025.35,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1378.94,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
727.33,10025,2023-12-01,Timely,N/A
1399.79,10025,2023-12-01,Timely,N/A
2162.15,10025,2023-12-01,Timely,N/A
2285.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1529.33,10025,2023-12-01,Timely,N/A
1062.65,10025,2023-12-01,Timely,N/A
1017.13,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1056.85,10025,2023-12-01,Timely,N/A
702.95,10025,2023-12-01,Timely,N/A
1015.94,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1062.65,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
1005.72,10025,2023-12-01,Timely,N/A
2285.00,10025,2023-12-01,Timely,N/A
750.00,10025,2023-12-01,Timely,N/A
1075.43,10025,2023-12-01,Timely,N/A
880.64,10025,2023-12-01,Timely,N/A
484.55,10025,2023-12-01,Timely,N/A
1046.63,10025,2023-12-01,Timely,N/A
1038.13,10025,2023-12-01,Timely,N/A
750.00,10025,2023-12-01,Timely,N/A
1062.65,10025,2023-12-01,Timely,N/A
2678.55,10025,2023-12-01,Timely,N/A
776.69,10025,2023-12-01,Timely,N/A
3324.00,10025,2023-12-01,Timely,N/A
1004.10,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
750.00,10025,2023-12-01,Timely,N/A
1536.00,10025,2023-12-01,Timely,N/A
