zip,no_payments,amount_total,modzcta,zcta,pop_est,nyc,NAME,medincomeE,medincomeM,county,total_pop,total_vouchers,prop_pop,prop_vouchers
11239,176,207693,11239,11239,13244,TRUE,ZCTA5 11239,38670,6277,Kings,8872576,45429,0.14926893835567032,0.3874177287635651
11239,176,207693,11239,11239,13244,TRUE,ZCTA5 11239,38670,6277,Queens,8872576,45429,0.14926893835567032,0.3874177287635651
11242,1,1646,NA,NA,NA,FALSE,NA,NA,NA,Kings,NA,338,NA,0.2958579881656805
11249,53,43141,11211,11211,102624,TRUE,ZCTA5 11249,113946,5991,Kings,8872576,45429,1.1566426706291386,0.11666556604811905
11354,49,78835,11354,11354,55200,TRUE,ZCTA5 11354,56854,7173,Queens,8872576,45429,0.6221417545479464,0.10786061766712893
11355,104,149734,11355,11355,80853,TRUE,ZCTA5 11355,52658,1913,Queens,8872576,45429,0.9112686101533535,0.22892865790574302
11356,17,25805,11356,11356,23362,TRUE,ZCTA5 11356,86717,10821,Queens,8872576,45429,0.2633057186548754,0.037421030619208
11357,5,6643,11357,"11351, 11357",39902,TRUE,ZCTA5 11357,95987,10237,Queens,8872576,45429,0.4497228313400753,0.011006185476237645
11358,20,35211,11358,11358,37190,TRUE,ZCTA5 11358,84020,7384,Queens,8872576,45429,0.41915673644271967,0.04402474190495058
11360,3,7252,11360,"11359, 11360",19621,TRUE,ZCTA5 11360,100016,11564,Queens,8872576,45429,0.22114208996350102,0.006603711285742587
11361,7,10727,11361,11361,27246,TRUE,ZCTA5 11361,102343,7652,Queens,8872576,45429,0.30708105515241574,0.015408659666732704
11362,4,6268,11362,11362,18721,TRUE,ZCTA5 11362,113688,10011,Queens,8872576,45429,0.2109984744002193,0.008804948380990116
11363,1,1227,11363,11363,6952,TRUE,ZCTA5 11363,112625,23395,Queens,8872576,45429,0.0783537948843718,0.002201237095247529
11364,5,5703,11364,11364,36806,TRUE,ZCTA5 11364,100577,8715,Queens,8872576,45429,0.41482879380238613,0.011006185476237645
11365,21,33207,11365,11365,44983,TRUE,ZCTA5 11365,82655,9084,Queens,8872576,45429,0.5069891765367803,0.04622597900019811
11366,4,7081,11366,11366,14650,TRUE,ZCTA5 11366,114881,13629,Queens,8872576,45429,0.16511552000230822,0.008804948380990116
11367,27,41279,11367,11367,41824,TRUE,ZCTA5 11367,76888,10314,Queens,8872576,45429,0.47138508590966144,0.05943340157168329
11368,219,323805,11368,11368,112425,TRUE,ZCTA5 11368,69391,3913,Queens,8872576,45429,1.2671066441132768,0.4820709238592089
11369,30,50064,11369,"11369, 11371",34118,TRUE,ZCTA5 11369,72342,4123,Queens,8872576,45429,0.38453319532005137,0.06603711285742588
11370,14,26506,11370,11370,32514,TRUE,ZCTA5 11370,71618,7395,Queens,8872576,45429,0.36645501824949145,0.030817319333465407
11372,49,81904,11372,11372,61844,TRUE,ZCTA5 11372,73089,4629,Queens,8872576,45429,0.697024178772884,0.10786061766712893
11373,43,56566,11373,11373,93967,TRUE,ZCTA5 11373,67489,2731,Queens,8872576,45429,1.0590723595943274,0.09465319509564375
11374,76,129065,11374,11374,42653,TRUE,ZCTA5 11374,86006,5076,Queens,8872576,45429,0.48072848291183984,0.1672940192388122
11375,144,259016,11375,11375,73488,TRUE,ZCTA5 11375,103995,6602,Queens,8872576,45429,0.8282600227938312,0.3169781417156442
11377,52,79474,11377,11377,86421,TRUE,ZCTA5 11377,72273,3189,Queens,8872576,45429,0.9740237784381899,0.11446432895287151
11378,15,23378,11378,11378,37279,TRUE,ZCTA5 11378,90572,7678,Queens,8872576,45429,0.42015982731508866,0.03301855642871294
11379,8,11578,11379,11379,37851,TRUE,ZCTA5 11379,89500,8780,Queens,8872576,45429,0.4266066585397522,0.017609896761980232
11385,141,267611,11385,11385,106717,TRUE,ZCTA5 11385,85127,3395,Queens,8872576,45429,1.2027735800741521,0.3103744304299016
11411,39,63157,11411,"11003, 11411",20930,TRUE,ZCTA5 11411,117018,5908,Queens,8872576,45429,0.2358954152660963,0.08584824671465363
11412,301,443596,11412,11412,37458,TRUE,ZCTA5 11412,96094,7302,Queens,8872576,45429,0.4221772797437858,0.6625723656695063
11413,153,271162,11413,11413,42443,TRUE,ZCTA5 11413,111065,4905,Queens,8872576,45429,0.4783616392804074,0.33678927557287197
11414,25,42029,11414,11414,29219,TRUE,ZCTA5 11414,95370,10885,Queens,8872576,45429,0.32931811460392113,0.05503092738118823
11415,61,103010,11415,"11415, 11424",19372,TRUE,ZCTA5 11415,88306,9684,Queens,8872576,45429,0.21833568965765973,0.13427546281009928
11416,115,191222,11416,11416,27125,TRUE,ZCTA5 11416,84085,7551,Queens,8872576,45429,0.3057173023933523,0.25314226595346584
11417,91,165599,11417,11417,31927,TRUE,ZCTA5 11417,84419,6927,Queens,8872576,45429,0.35983912676543994,0.20031257566752517
11418,93,149354,11418,11418,38517,TRUE,ZCTA5 11418,79101,6657,Queens,8872576,45429,0.43411293405658063,0.2047150498580202
